model_name,includes_followup_variable,followup_window_days,n_observations,readmission_events,converged,pseudo_r_squared,aic,bic,llr_p_value,interpretation_note,formatted_llr_p_value,comparison_note
No follow-up covariate,False,,255,13,True,0.0665,107.88,129.13,0.2336,Exploratory adjusted association model using synthetic data. Compare model sets for sensitivity to follow-up timing variables; do not interpret causally.,0.234,Models are compared descriptively to assess sensitivity to observed follow-up timing variables. Lower AIC/BIC is not a claim of clinical validity.
With 7-day follow-up covariate,True,7,255,13,False,,,,,"Model could not be estimated (LinAlgError: Singular matrix). This is documented as sparse-data or separation instability, not as a clinical finding.",Not estimable,Models are compared descriptively to assess sensitivity to observed follow-up timing variables. Lower AIC/BIC is not a claim of clinical validity.
With 14-day follow-up covariate,True,14,255,13,True,0.0806,108.43,133.22,0.2181,Exploratory adjusted association model using synthetic data. Compare model sets for sensitivity to follow-up timing variables; do not interpret causally.,0.218,Models are compared descriptively to assess sensitivity to observed follow-up timing variables. Lower AIC/BIC is not a claim of clinical validity.
With 30-day follow-up covariate,True,30,255,13,True,0.0665,109.88,134.67,0.3368,Exploratory adjusted association model using synthetic data. Compare model sets for sensitivity to follow-up timing variables; do not interpret causally.,0.337,Models are compared descriptively to assess sensitivity to observed follow-up timing variables. Lower AIC/BIC is not a claim of clinical validity.
